Tipo_Entidad;Nombre_Tipo_Entidad;Codigo_Entidad;Nombre_Entidad;Fecha_Corte;Tipo_de_persona;Sexo;Tamaño_de_empresa;Tipo_de_crédito;Tipo_de_garantía;Producto de crédito;Plazo de crédito;Tasa_efectiva_promedio_ponderada;margen_adicional;Montos_desembolsados;Numero_de_creditos_desembolsados;Grupo_Etnico;Antiguedad_de_la_empresa;Tipo_de_Tasa;Rango_monto_desembolsado;Clase_deudor;Codigo_CIIU;Codigo_Municipio
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Masculino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda vis (colocación en pesos);Más de 7 años y hasta 15 años;14;0;195,084,289;2;Sin información (1);No aplica(1);FS;Hasta 135 SMLMV;Deudor nuevo en la entidad;10;73001
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Masculino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda vis (colocación en pesos);Más de 15 años y hasta 20 años;14;0;71,299,000;1;Sin información (1);No aplica(1);FS;Hasta 135 SMLMV;Deudor de la entidad;6910;5088
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Femenino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda no vis (colocación en pesos);Más de 15 años y hasta 20 años;17.05;0;176,750,000;1;Sin información (1);No aplica(1);FS;Mayor a 135 SMLMV y menor o igual a 235 SMLMV;Deudor de la entidad;90;73001
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Femenino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda vis (colocación en uvr);A más de 20 años;7.7;0;54,848,122;1;Sin información (1);No aplica(1);FS;Hasta 135 SMLMV;Deudor nuevo en la entidad;10;70001
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Masculino;No aplica;Vivienda;Garantia idónea o no idónea;Construcción de vivienda individual no vis (colocación en pesos);Más de 7 años y hasta 15 años;15.5;0;357,600,000;1;Sin información (1);No aplica(1);FS;Mayor a 235 SMLMV y menor o igual a 335 SMLMV;Deudor de la entidad;10;11001
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Femenino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda no vis (colocación en pesos);Más de 7 años y hasta 15 años;16.75;0;461,680,948;2;Sin información (1);No aplica(1);FS;Mayor a 135 SMLMV y menor o igual a 235 SMLMV;Deudor de la entidad;10;5001
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Femenino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda no vis (colocación en pesos);Más de 15 años y hasta 20 años;14;0;226,804,446.07;1;Sin información (1);No aplica(1);FS;Mayor a 135 SMLMV y menor o igual a 235 SMLMV;Deudor de la entidad;10;5615
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Masculino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda no vis (colocación en pesos);Más de 15 años y hasta 20 años;17.05;0;312,875,500;1;Sin información (1);No aplica(1);FS;Mayor a 235 SMLMV y menor o igual a 335 SMLMV;Deudor nuevo en la entidad;6209;11001
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Masculino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda no vis (colocación en pesos);Más de 15 años y hasta 20 años;17.77;0;260,000,000;2;Sin información (1);No aplica(1);FS;Hasta 135 SMLMV;Deudor nuevo en la entidad;10;11001
1;BC-ESTABLECIMIENTO BANCARIO;7;Bancolombia;19/01/2024;Natural;Femenino;No aplica;Vivienda;Garantia idónea o no idónea;Adquisición de vivienda no vis (colocación en uvr);A más de 20 años;8.85;0;183,284,783;1;Sin información (1);No aplica(1);FS;Mayor a 135 SMLMV y menor o igual a 235 SMLMV;Deudor de la entidad;10;5308
